fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
3384941.0,243307092.0,9740,72,2022-05-28,16:22,FS18C,1,210,3116,14,2022,528,0,Boomleeuwerik,168861.4103000015,220533.15780000016
3390940.0,242987122.0,9740,72,2022-05-26,09:02,FS18C,1,210,3116,14,2022,526,0,Boomleeuwerik,168879.8471999988,220554.93549999967
6041615.0,187903245.0,9740,72,2020-04-05,19:32,FS28B,2,92,3118,5,2020,405,0,Boomleeuwerik,179976.3105000034,222423.98270000145
6041973.0,214967705.0,9740,72,2021-05-27,16:30,FS28B,1,92,25,7,2021,527,0,Boomleeuwerik,180326.06329999864,225646.60920000076
7027142.0,317143240.0,9740,72,2024-06-22,19:46,FS28C,1,210,3115,16,2024,622,0,Boomleeuwerik,177294.13019999862,217417.1416000016
7028375.0,187034325.0,9740,72,2020-03-22,07:37,FS28C,2,92,25,7,2020,322,0,Boomleeuwerik,177238.81000000238,217912.94220000133
7030085.0,188694779.0,9740,72,2020-04-15,09:43,FS28C,3,92,25,7,2020,415,0,Boomleeuwerik,177434.3504000008,217789.19689999893
7032561.0,246888889.0,9740,72,2022-06-26,09:16,FS28C,2,92,3121,12,2022,626,0,Boomleeuwerik,176644.13620000333,217235.4470999986
7034180.0,193107754.0,9740,72,2020-06-02,,FS28C,1,1,25,7,2020,602,0,Boomleeuwerik,177191.58519999683,217338.96449999884
7034212.0,245139607.0,9740,72,2022-06-12,09:58,FS28C,2,92,3121,12,2022,612,0,Boomleeuwerik,176792.78559999913,217042.4990000017
7034589.0,209173161.0,9740,72,2021-03-23,,FS28C,1,1,3118,5,2021,323,0,Boomleeuwerik,177444.27059999853,217986.06340000033
7035070.0,245909131.0,9740,72,2022-06-18,05:45,FS28C,1,92,25,7,2022,618,0,Boomleeuwerik,177068.55319999903,217944.99300000072
7035588.0,237587399.0,9740,72,2022-04-12,19:11,FS28C,1,92,3116,14,2022,412,0,Boomleeuwerik,177247.62210000306,217465.65320000052
7036892.0,215560281.0,9740,72,2021-06-01,11:17,FS28C,2,92,25,7,2021,601,0,Boomleeuwerik,177737.99419999868,217827.31610000134
7037054.0,209173331.0,9740,72,2021-03-23,,FS28C,1,1,3118,5,2021,323,0,Boomleeuwerik,177692.77130000293,218283.1152999997
7037072.0,238498597.0,9740,72,2022-04-21,09:59,FS28C,1,92,3116,14,2022,421,0,Boomleeuwerik,177645.46720000356,218283.4941000007
7037876.0,193108011.0,9740,72,2020-06-02,,FS28C,1,1,25,7,2020,602,0,Boomleeuwerik,176767.97259999812,217870.0137999989
7037897.0,215555891.0,9740,72,2021-06-01,,FS28C,2,1,25,7,2021,601,0,Boomleeuwerik,176642.22630000114,218052.09310000017
7038432.0,215558528.0,9740,72,2021-06-01,,FS28C,1,1,25,7,2021,601,0,Boomleeuwerik,177183.93980000168,217939.88049999997
7038645.0,239598924.0,9740,72,2022-04-30,07:27,FS28C,1,92,3118,5,2022,430,0,Boomleeuwerik,176515.1574999988,217105.0249999985
7040117.0,209173315.0,9740,72,2021-03-23,,FS28C,1,1,3118,5,2021,323,0,Boomleeuwerik,177908.57789999992,218251.4171999991
7040155.0,245063284.0,9740,72,2022-06-09,20:16,FS28C,1,92,3116,14,2022,609,0,Boomleeuwerik,177534.82119999826,217771.50719999894
7040695.0,267755497.0,9740,72,2023-04-15,09:43,FS28C,2,92,3116,14,2023,415,0,Boomleeuwerik,177052.8022999987,217221.01529999822
7040828.0,209173221.0,9740,72,2021-03-23,,FS28C,1,1,3118,5,2021,323,0,Boomleeuwerik,177443.53369999677,218124.96350000054
7040843.0,239762449.0,9740,72,2022-05-01,08:07,FS28C,1,92,25,7,2022,501,0,Boomleeuwerik,177308.22320000082,218021.53460000083
