fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
11945371.0,189200620.0,9740,72,2020-04-20,08:50,FS68D,1,92,25,7,2020,420,0,Boomleeuwerik,222847.6675999984,217358.92379999906
11945930.0,220249308.0,9740,72,2021-07-18,08:25,FS68D,1,92,25,7,2021,718,0,Boomleeuwerik,222335.3897999972,217530.69209999964
11946143.0,240495148.0,9740,72,2022-05-06,09:29,FS68D,1,92,25,7,2022,506,0,Boomleeuwerik,223248.29930000007,217478.7520999983
11947185.0,236110165.0,9740,72,2022-03-25,10:58,FS68D,1,92,25,7,2022,325,0,Boomleeuwerik,222905.83259999752,216700.1900999993
11948476.0,266657044.0,9740,72,2023-04-04,10:25,FS68D,1,92,25,7,2023,404,0,Boomleeuwerik,222941.34000000358,217486.64429999888
11949304.0,300986014.0,9740,72,2024-03-15,10:22,FS68D,1,92,25,7,2024,315,0,Boomleeuwerik,222647.85620000213,217298.28610000014
11949330.0,212904964.0,9740,72,2021-05-07,09:35,FS68D,1,92,3116,14,2021,507,0,Boomleeuwerik,223329.93559999764,217480.4598999992
11949341.0,268743176.0,9740,72,2023-04-23,07:50,FS68D,1,92,25,7,2023,423,0,Boomleeuwerik,223385.11659999937,217533.97529999912
11949861.0,190443243.0,9740,72,2020-05-04,19:28,FS68D,1,92,25,7,2020,504,0,Boomleeuwerik,223718.37070000172,218001.94420000166
11949863.0,191632885.0,9740,72,2020-05-17,20:45,FS68D,1,92,25,7,2020,517,0,Boomleeuwerik,223685.45859999955,218031.64939999953
11950726.0,238148898.0,9740,72,2022-04-18,08:16,FS68D,1,92,25,7,2022,418,0,Boomleeuwerik,223714.27290000021,218057.9989
11951401.0,267018738.0,9740,72,2023-04-08,08:48,FS68D,1,92,25,7,2023,408,0,Boomleeuwerik,223502.90590000153,217612.16589999944
11956237.0,310337669.0,9740,72,2024-05-19,10:16,FS68D,2,92,25,7,2024,519,0,Boomleeuwerik,223365.02210000157,217516.69629999995
11957468.0,191373978.0,9740,72,2020-05-15,09:24,FS68D,1,92,25,7,2020,515,0,Boomleeuwerik,222804.8476999998,217103.08410000056
11957680.0,236529816.0,9740,72,2022-03-30,08:42,FS68D,1,92,25,7,2022,330,0,Boomleeuwerik,222611.59409999847,216926.3737999983
11958409.0,194744199.0,9740,72,2020-06-23,10:04,FS68D,1,416,25,7,2020,623,0,Boomleeuwerik,222359.18460000306,217219.68149999902
11958610.0,305014291.0,9740,72,2024-04-14,08:00,FS68D,1,92,25,7,2024,414,0,Boomleeuwerik,223923.91459999979,218348.29520000145
11958933.0,307175491.0,9740,72,2024-05-01,09:02,FS68D,1,92,25,7,2024,501,0,Boomleeuwerik,222756.85670000315,216450.25690000132
11959581.0,213498955.0,9740,72,2021-05-13,08:41,FS68D,1,92,25,7,2021,513,0,Boomleeuwerik,222908.13180000335,216779.64970000088
11960590.0,216760386.0,9740,72,2021-06-12,06:06,FS68D,1,92,25,7,2021,612,0,Boomleeuwerik,223020.07079999894,217450.4968000017
11964432.0,268029228.0,9740,72,2023-04-17,06:22,FS68D,1,92,25,7,2023,417,0,Boomleeuwerik,223716.82720000297,218018.30799999833
11964435.0,302696877.0,9740,72,2024-04-01,10:33,FS68D,1,92,25,7,2024,401,0,Boomleeuwerik,223700.42549999803,218072.18560000136
11964749.0,210749136.0,9740,72,2021-04-15,11:50,FS68D,1,92,25,7,2021,415,0,Boomleeuwerik,223583.58250000328,217681.38039999828
11964750.0,210818458.0,9740,72,2021-04-16,09:24,FS68D,1,92,25,7,2021,416,0,Boomleeuwerik,223601.41260000318,217688.26319999993
11965030.0,188675164.0,9740,72,2020-04-14,10:10,FS68D,1,416,3116,14,2020,414,0,Boomleeuwerik,223787.42559999973,218010.7237999998
11965591.0,239184855.0,9740,72,2022-04-27,06:45,FS68D,1,92,25,7,2022,427,0,Boomleeuwerik,222666.99499999732,215940.53400000185
11966975.0,305727069.0,9740,72,2024-04-21,10:25,FS68D,1,92,25,7,2024,421,0,Boomleeuwerik,222710.5304000005,216408.39620000124
11970832.0,212095853.0,9740,72,2021-04-28,10:08,FS68D,1,92,25,7,2021,428,0,Boomleeuwerik,223570.64609999955,217651.27070000023
11971779.0,219060661.0,9740,72,2021-07-05,12:47,FS68D,2,210,28,6,2021,705,0,Boomleeuwerik,223860.61230000108,218172.2212000005
11972024.0,212589986.0,9740,72,2021-05-03,08:08,FS68D,1,92,3116,14,2021,503,0,Boomleeuwerik,223329.90730000287,217479.1521999985
11972202.0,215863321.0,9740,72,2021-06-04,11:48,FS68D,1,92,25,7,2021,604,0,Boomleeuwerik,223051.50519999862,217306.19159999862
11977458.0,306812468.0,9740,72,2024-04-29,07:40,FS68D,1,92,25,7,2024,429,0,Boomleeuwerik,223724.78279999644,218062.79349999875
11979018.0,193462041.0,9740,72,2020-06-07,11:23,FS68D,1,92,25,7,2020,607,0,Boomleeuwerik,222921.21909999847,217363.08049999923
11979532.0,239184616.0,9740,72,2022-04-27,09:23,FS68D,1,92,25,7,2022,427,0,Boomleeuwerik,222937.83060000092,217360.23279999942
11979542.0,266657042.0,9740,72,2023-04-04,10:25,FS68D,1,92,25,7,2023,404,0,Boomleeuwerik,222889.29879999906,217519.01309999824
11979548.0,303064782.0,9740,72,2024-04-03,19:29,FS68D,1,92,25,7,2024,403,0,Boomleeuwerik,222896.83150000125,217411.19999999925
11979616.0,243337366.0,9740,72,2022-05-28,20:46,FS68D,1,92,25,7,2022,528,0,Boomleeuwerik,222847.68240000308,216468.97480000183
11980345.0,209623774.0,9740,72,2021-03-30,10:36,FS68D,1,92,25,7,2021,330,0,Boomleeuwerik,222863.28239999712,216549.8856999986
11980760.0,220249259.0,9740,72,2021-07-18,10:04,FS68D,2,92,25,7,2021,718,0,Boomleeuwerik,222928.05319999903,216690.2707999982
11980837.0,210746377.0,9740,72,2021-04-15,07:30,FS68D,1,92,25,7,2021,415,0,Boomleeuwerik,222917.1045999974,217040.18239999935
11980838.0,210655355.0,9740,72,2021-04-13,19:25,FS68D,1,92,25,7,2021,413,0,Boomleeuwerik,222932.31210000068,217029.0736999996
11982610.0,214665361.0,9740,72,2021-05-24,05:50,FS68D,1,92,25,7,2021,524,0,Boomleeuwerik,222956.63849999756,217459.01049999893
11984171.0,210401798.0,9740,72,2021-04-10,10:35,FS68D,1,92,25,7,2021,410,0,Boomleeuwerik,222812.60700000077,216421.17749999836
11984547.0,212096333.0,9740,72,2021-04-28,09:27,FS68D,1,92,25,7,2021,428,0,Boomleeuwerik,222730.36039999872,217013.46379999816
11984955.0,217380205.0,9740,72,2021-06-17,21:59,FS68D,2,92,25,7,2021,617,0,Boomleeuwerik,222661.06000000238,216957.31810000166
11985733.0,267771174.0,9740,72,2023-04-15,09:48,FS68D,1,92,25,7,2023,415,0,Boomleeuwerik,222466.37370000035,217095.16230000183
11986092.0,269194097.0,9740,72,2023-04-27,07:26,FS68D,1,92,25,7,2023,427,0,Boomleeuwerik,222775.06830000132,216530.34070000052
11987603.0,305727395.0,9740,72,2024-04-21,09:10,FS68D,1,92,25,7,2024,421,0,Boomleeuwerik,222516.11559999734,217034.8561999984
11988684.0,222851734.0,9740,72,2021-08-13,14:41,FS68D,1,92,25,7,2021,813,0,Boomleeuwerik,222972.32460000366,216886.99069999903
11988693.0,304634478.0,9740,72,2024-04-12,08:11,FS68D,1,92,25,7,2024,412,0,Boomleeuwerik,222960.45809999853,216747.54580000043
11988921.0,305013665.0,9740,72,2024-04-14,09:18,FS68D,1,92,25,7,2024,414,0,Boomleeuwerik,223364.28239999712,217654.41939999908
11989743.0,190443149.0,9740,72,2020-05-04,20:21,FS68D,2,92,25,7,2020,504,0,Boomleeuwerik,223045.61050000042,217048.57669999823
11990398.0,189338515.0,9740,72,2020-04-22,09:33,FS68D,1,92,25,7,2020,422,0,Boomleeuwerik,222928.49859999865,216718.04300000146
