fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
5531806.0,294237333.0,8630,249829,2023-12-03,16:42,FS84D,1,409,3117,6,2023,1203,0,Zwarte Specht,240090.05680000037,179156.6678000018
11584972.0,265282398.0,8630,759,2022-05-19,17:10,FS74B,1,92,3051,13,2022,519,0,Zwarte Specht,232392.19060000032,183528.1710000001
11585056.0,242143381.0,8630,759,2022-05-19,17:10,FS74B,1,92,3051,13,2022,519,0,Zwarte Specht,232392.19060000032,183528.1710000001
11615554.0,188526822.0,8630,759,2020-04-12,11:00,FS84A,1,1,3117,6,2020,412,0,Zwarte Specht,236555.81490000337,181124.75459999964
11615555.0,189385514.0,8630,759,2020-04-22,19:58,FS84A,1,92,3051,13,2020,422,0,Zwarte Specht,236449.19529999793,181271.01359999925
11617944.0,291816129.0,8630,759,2023-10-28,15:36,FS84A,1,92,25,7,2023,1028,0,Zwarte Specht,237983.5698999986,180772.93569999933
11620360.0,237190998.0,8630,759,2022-04-10,11:04,FS84A,1,92,3051,13,2022,410,0,Zwarte Specht,236404.47079999745,181218.48420000076
11620371.0,193261495.0,8630,759,2020-06-03,09:55,FS84A,1,92,3115,16,2020,603,0,Zwarte Specht,236469.90110000223,181261.59519999847
11630028.0,264867515.0,8630,759,2023-03-08,15:36,FS84B,1,92,3114,15,2023,308,0,Zwarte Specht,238972.31909999996,180880.10869999975
11645563.0,270835469.0,8630,759,2023-05-05,08:50,FS84B,1,416,3119,9,2023,505,0,Zwarte Specht,240407.87179999799,184447.68230000138
11651750.0,208863121.0,8630,759,2021-03-18,09:13,FS85B,1,92,25,7,2021,318,0,Zwarte Specht,242716.9852000028,195229.999499999
11675023.0,202974702.0,8630,759,2020-11-08,08:24,FS86D,1,1,25,7,2020,1108,0,Zwarte Specht,243143.7730000019,195959.4186999984
11679118.0,323279433.0,8630,759,2024-08-07,19:01,FS86D,1,210,25,7,2024,807,0,Zwarte Specht,242439.91089999676,196625.70569999889
11679199.0,323279430.0,8630,759,2024-08-07,18:56,FS86D,1,210,25,7,2024,807,0,Zwarte Specht,242190.35859999806,196396.01799999923
11719837.0,302788299.0,8630,759,2024-04-01,07:46,FS95A,1,1,3119,9,2024,401,0,Zwarte Specht,244120.31440000236,191071.49560000002
