fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
11889528.0,305012915.0,8310,37,2024-04-14,11:15,FS68D,1,92,3117,6,2024,414,0,IJsvogel,223743.58540000021,217684.84930000082
11892717.0,241678899.0,8310,37,2022-05-15,17:47,FS68D,1,92,3116,14,2022,515,0,IJsvogel,223453.64180000126,217201.00389999896
11906538.0,277395639.0,8310,37,2023-06-21,19:59,FS68D,1,92,3116,14,2023,621,0,IJsvogel,223520.95899999887,217515.98970000073
11909984.0,189338554.0,8310,37,2020-04-22,08:47,FS68D,1,92,3116,14,2020,422,0,IJsvogel,223140.18630000204,216097.92029999942
11909985.0,189815973.0,8310,37,2020-04-27,06:06,FS68D,1,416,3116,14,2020,427,0,IJsvogel,223140.53670000285,216089.6827000007
11910905.0,186231108.0,8310,37,2020-03-07,08:08,FS68D,1,92,3118,5,2020,307,0,IJsvogel,222974.4129000008,216521.3077000007
11925490.0,310707048.0,8310,37,2024-05-20,19:02,FS68D,1,92,3116,14,2024,520,0,IJsvogel,224318.3303000033,218897.56920000166
11928663.0,187792023.0,8310,37,2020-04-04,17:40,FS68D,1,92,3117,6,2020,404,0,IJsvogel,224147.95279999822,218649.46590000018
11931852.0,187792024.0,8310,37,2020-04-04,17:40,FS68D,1,92,3117,6,2020,404,0,IJsvogel,224148.19179999828,218649.0449000001
11933030.0,246700516.0,8310,37,2022-06-24,20:45,FS68D,1,92,3121,12,2022,624,0,IJsvogel,223141.20160000026,216064.1468999982
11933956.0,253600050.0,8310,37,2022-08-29,12:03,FS68D,1,92,3116,14,2022,829,0,IJsvogel,223058.28019999713,216531.9926000014
11935524.0,272466225.0,8310,37,2023-05-19,20:46,FS68D,1,92,3116,14,2023,519,0,IJsvogel,223041.2594999969,216475.6700000018
11938932.0,301264486.0,8310,37,2024-03-18,07:26,FS68D,1,92,3117,6,2024,318,0,IJsvogel,223145.08789999783,216093.99670000002
11939189.0,219482632.0,8310,37,2021-07-09,20:44,FS68D,1,92,3121,12,2021,709,0,IJsvogel,223117.11240000278,216314.4893000014
11942973.0,273808052.0,8310,37,2023-05-28,06:41,FS68D,1,92,3116,14,2023,528,0,IJsvogel,223149.28930000216,216088.26509999856
11942986.0,186539021.0,8310,37,2020-03-13,18:32,FS68D,1,416,3118,5,2020,313,0,IJsvogel,223147.75940000266,216131.95490000024
11943572.0,214667677.0,8310,37,2021-05-17,20:04,FS68D,1,92,3116,14,2021,517,0,IJsvogel,223141.25869999826,216075.0289000012
11943635.0,309453684.0,8310,37,2024-05-13,20:27,FS68D,1,92,3116,14,2024,513,0,IJsvogel,223144.06059999764,216088.82169999927
11945501.0,213498774.0,8310,37,2021-05-13,11:19,FS68D,1,92,3116,14,2021,513,0,IJsvogel,222992.23380000144,216618.89660000056
11950114.0,235518600.0,8310,37,2022-03-17,07:29,FS68D,1,92,3117,6,2022,317,0,IJsvogel,223149.41170000285,216109.44539999962
11953781.0,246116491.0,8310,37,2022-06-19,18:26,FS68D,1,92,3121,12,2022,619,0,IJsvogel,223979.47110000253,218181.19420000166
11954812.0,188356351.0,8310,37,2020-04-11,06:53,FS68D,1,416,3118,5,2020,411,0,IJsvogel,223139.3897999972,216096.29789999872
11972415.0,202520681.0,8310,37,2020-10-31,11:49,FS68D,1,92,3116,14,2020,1031,0,IJsvogel,223231.5944999978,217130.53159999847
11981382.0,315103538.0,8310,37,2024-06-19,09:03,FS68D,1,92,3116,14,2024,619,0,IJsvogel,223945.5201999992,218261.07140000165
11982823.0,186292461.0,8310,37,2020-03-08,10:08,FS68D,1,92,3117,6,2020,308,0,IJsvogel,224058.6731000021,218471.88560000062
11988031.0,187739736.0,8310,37,2020-04-02,19:29,FS68D,3,92,25,7,2020,402,0,IJsvogel,222909.58839999884,216381.85970000178
11988780.0,214269869.0,8310,37,2021-05-20,06:48,FS68D,1,92,3116,14,2021,520,0,IJsvogel,223149.15150000155,216083.10280000046
