fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
481492.0,189360800.0,2600,81,2020-04-22,16:52,ES77B,2,92,3118,5,2020,422,0,Bruine Kiekendief,132907.9416999966,214877.8718000017
483118.0,192734924.0,2600,81,2020-05-29,16:00,ES77B,1,1,3117,6,2020,529,0,Bruine Kiekendief,133853.17710000277,214362.0053000003
484886.0,195647048.0,2600,81,2020-07-06,16:20,ES77B,1,92,3115,16,2020,706,0,Bruine Kiekendief,133788.61320000142,214353.87829999998
485587.0,193945746.0,2600,81,2020-06-13,16:55,ES77B,1,92,3115,16,2020,613,0,Bruine Kiekendief,134314.17899999768,214121.8134999983
486537.0,306369545.0,2600,81,2024-04-26,10:50,ES77B,2,92,3118,5,2024,426,0,Bruine Kiekendief,132953.54659999907,216919.4263000004
486866.0,238822524.0,2600,81,2022-04-24,08:54,ES77B,1,92,3051,13,2022,424,0,Bruine Kiekendief,133859.75460000336,214338.70190000162
488369.0,251037914.0,2600,81,2022-04-30,19:13,ES77B,1,107,3118,5,2022,430,0,Bruine Kiekendief,133826.1827000007,214310.36180000007
488439.0,321826471.0,2600,81,2024-07-29,16:06,ES77B,2,92,3121,12,2024,729,0,Bruine Kiekendief,133788.91350000352,214268.57140000165
489306.0,212411611.0,2600,81,2021-05-01,16:00,ES77B,1,1,3117,6,2021,501,0,Bruine Kiekendief,134016.88610000163,214297.8845999986
489313.0,221049561.0,2600,81,2021-07-25,12:01,ES77B,1,1,3116,14,2021,725,0,Bruine Kiekendief,133843.40910000354,214413.60060000047
564125.0,307019308.0,2600,81,2024-04-30,12:36,ES96A,1,92,28,6,2024,430,0,Bruine Kiekendief,146843.69269999862,204366.20380000025
564127.0,312914997.0,2600,81,2024-04-30,12:04,ES96A,1,92,3117,6,2024,430,0,Bruine Kiekendief,146750.00620000064,204463.7126000002
567220.0,213198200.0,2600,81,2021-05-10,10:07,ES96A,1,92,3119,9,2021,510,0,Bruine Kiekendief,146810.14790000021,204565.52470000088
578940.0,215656840.0,2600,81,2021-06-02,08:50,ES96A,2,210,3119,9,2021,602,0,Bruine Kiekendief,146799.44650000334,204533.3911000006
579044.0,215429723.0,2600,81,2021-05-31,07:37,ES96A,1,416,3119,9,2021,531,0,Bruine Kiekendief,146821.9777000025,204537.11340000108
601625.0,307125877.0,2600,81,2024-04-29,14:29,ES96A,2,1,3119,9,2024,429,0,Bruine Kiekendief,146897.1916999966,205011.4096999988
612815.0,216134198.0,2600,81,2021-06-05,09:47,ES96A,1,210,3117,6,2021,605,0,Bruine Kiekendief,146794.83129999787,204565.05330000073
669770.0,211626534.0,2600,81,2021-04-24,09:11,ES96A,1,92,3121,12,2021,424,0,Bruine Kiekendief,146387.31109999865,205414.9814000018
685848.0,307245450.0,2600,81,2024-05-01,10:56,ES96A,2,210,28,6,2024,501,0,Bruine Kiekendief,147002.5320999995,204660.02800000086
716095.0,215119716.0,2600,81,2021-05-26,15:28,ES96A,2,210,3118,5,2021,526,0,Bruine Kiekendief,146954.71029999852,204570.0447999984
728411.0,238936726.0,2600,81,2022-04-24,,ES87A,1,1,3119,9,2022,424,0,Bruine Kiekendief,138841.02290000021,216183.03559999913
733516.0,240702159.0,2600,81,2022-05-08,10:43,ES87A,1,92,3119,9,2022,508,0,Bruine Kiekendief,139272.09220000356,216716.5874999985
747891.0,271668779.0,2600,81,2023-05-14,08:18,ES87B,1,92,3119,9,2023,514,0,Bruine Kiekendief,140298.3775999993,214952.01150000095
752086.0,271643745.0,2600,81,2023-05-14,08:26,ES87B,1,92,3119,9,2023,514,0,Bruine Kiekendief,140099.8615999967,214931.67330000177
752716.0,189345128.0,2600,81,2020-04-22,08:52,ES87B,1,92,3118,5,2020,422,0,Bruine Kiekendief,140749.78760000318,215048.32919999957
755769.0,210761243.0,2600,81,2021-04-15,08:32,ES87B,1,92,25,7,2021,415,0,Bruine Kiekendief,142068.9408000037,215624.0192000009
762878.0,305791570.0,2600,81,2024-04-21,10:01,ES87B,1,210,28,6,2024,421,0,Bruine Kiekendief,144431.02539999783,214887.14330000058
765287.0,301614393.0,2600,81,2024-03-20,10:15,ES87B,1,92,25,7,2024,320,0,Bruine Kiekendief,140631.4408000037,215061.61670000106
766696.0,304973990.0,2600,81,2024-04-13,07:33,ES87B,1,1,28,6,2024,413,0,Bruine Kiekendief,144365.55799999833,215147.85300000012
766731.0,271655852.0,2600,81,2023-05-14,08:26,ES87B,1,107,3119,9,2023,514,0,Bruine Kiekendief,140299.81499999762,214962.7511
774038.0,271582410.0,2600,81,2023-05-13,,ES87B,1,1,3119,9,2023,513,0,Bruine Kiekendief,140635.1656000018,214999.24109999835
783375.0,269852543.0,2600,81,2023-05-01,09:14,ES87B,1,107,3118,5,2023,501,0,Bruine Kiekendief,140299.92390000075,214970.92350000143
796584.0,267841494.0,2600,81,2023-04-15,09:18,ES87B,1,92,3119,9,2023,415,0,Bruine Kiekendief,140745.22309999913,215022.39510000125
