fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
3389169.0,244231827.0,11040,295,2022-06-04,18:35,FS18C,1,92,3117,6,2022,604,0,Nachtegaal,169258.33810000122,217350.79019999877
3390541.0,215417340.0,11040,295,2021-05-31,11:02,FS18C,1,92,25,7,2021,531,0,Nachtegaal,169196.08150000125,217418.46489999816
3629828.0,218956254.0,11040,295,2021-06-28,,FS17B,2,1,3121,12,2021,628,0,Nachtegaal,169722.08359999955,213132.64510000125
3638007.0,218319496.0,11040,295,2021-06-27,06:20,FS17B,1,1,3121,12,2021,627,0,Nachtegaal,169719.88849999756,213122.067400001
5727739.0,212012018.0,11040,295,2021-04-27,14:22,FS46B,1,92,25,7,2021,427,0,Nachtegaal,203501.46760000288,201385.82539999858
5975186.0,218475164.0,11040,295,2021-06-28,18:16,FS36B,3,92,3121,12,2021,628,0,Nachtegaal,194073.52390000224,203642.9375
6002420.0,270099278.0,11040,295,2023-05-02,10:38,FS37D,1,92,3114,15,2023,502,0,Nachtegaal,189959.55049999803,209341.67590000108
6005673.0,189743719.0,11040,295,2020-04-26,14:30,FS37D,1,92,3051,13,2020,426,0,Nachtegaal,189903.4525000006,209414.23800000176
6008259.0,216857346.0,11040,295,2021-05-23,14:30,FS37D,1,92,3117,6,2021,523,0,Nachtegaal,189812.32519999892,208609.70419999957
6215526.0,214354953.0,11040,295,2021-05-21,09:30,FS38B,1,1,3117,6,2021,521,0,Nachtegaal,190065.19640000165,224955.48710000142
6261182.0,191938444.0,11040,295,2020-05-21,06:08,FS38C,1,210,3116,14,2020,521,0,Nachtegaal,185860.9620999992,216791.89189999923
6304136.0,214196769.0,11040,295,2021-05-19,11:12,FS39A,1,92,3117,6,2021,519,0,Nachtegaal,185671.29609999806,233991.6975999996
6378387.0,216693952.0,11040,295,2021-06-11,19:28,FS39D,1,92,3051,13,2021,611,0,Nachtegaal,190382.15779999644,227651.67749999836
6573763.0,213363375.0,11040,295,2021-05-11,20:35,FS26B,1,92,3117,6,2021,511,0,Nachtegaal,183887.13880000263,204745.57970000058
6610454.0,191673243.0,11040,295,2020-05-13,09:13,FS27D,1,416,25,7,2020,513,0,Nachtegaal,180290.06409999728,207852.05090000108
6612457.0,189354773.0,11040,295,2020-04-22,14:38,FS27D,1,92,25,7,2020,422,0,Nachtegaal,183920.2268999964,208656.50699999928
6661659.0,191398630.0,11040,295,2020-05-15,14:08,FS37C,1,92,3115,16,2020,515,0,Nachtegaal,185280.79110000283,208080.75560000166
6671646.0,242023669.0,11040,295,2022-05-18,11:08,FS37C,1,92,3116,14,2022,518,0,Nachtegaal,189016.29240000248,209110.82239999995
6675495.0,212746144.0,11040,295,2021-05-02,06:55,FS37C,1,92,3117,6,2021,502,0,Nachtegaal,188572.1970999986,208794.7093999982
6693958.0,244084193.0,11040,295,2022-05-20,14:33,FS37C,1,92,3051,13,2022,520,0,Nachtegaal,187510.82680000365,210153.0962000005
6971313.0,317512574.0,11040,295,2024-06-14,11:43,FS27B,1,92,25,7,2024,614,0,Nachtegaal,179829.1651000008,214098.15399999917
6975472.0,189754521.0,11040,295,2020-04-26,,FS27B,2,1,3119,9,2020,426,0,Nachtegaal,180168.6897,215309.8022999987
6981903.0,244064171.0,11040,295,2022-06-03,,FS27B,1,1,3116,14,2022,603,0,Nachtegaal,180212.92660000175,215333.51350000128
6986283.0,191858066.0,11040,295,2020-05-20,,FS27B,1,1,25,7,2020,520,0,Nachtegaal,180215.82779999822,215319.5485999994
6986284.0,191754265.0,11040,295,2020-05-19,,FS27B,1,1,25,7,2020,519,0,Nachtegaal,180207.76810000092,215330.8365000002
7006881.0,191742227.0,11040,295,2020-05-19,,FS27B,2,1,3116,14,2020,519,0,Nachtegaal,180208.2025000006,215342.90940000117
7023364.0,189476641.0,11040,295,2020-04-23,,FS27B,2,1,3118,5,2020,423,0,Nachtegaal,180215.2493999973,215332.86950000003
7023813.0,193023617.0,11040,295,2020-06-01,,FS27B,1,1,25,7,2020,601,0,Nachtegaal,182799.3316999972,216206.42980000004
7056077.0,218957952.0,11040,295,2021-06-28,11:25,FS28D,1,1,28,6,2021,628,0,Nachtegaal,183914.2031000033,217060.02969999984
7799322.0,214323484.0,11040,295,2021-05-20,19:25,FS46D,1,92,3051,13,2021,520,0,Nachtegaal,203811.26359999925,200690.8729000017
7804024.0,240587713.0,11040,295,2022-05-07,14:12,FS46D,1,92,3051,13,2022,507,0,Nachtegaal,203792.21130000055,200489.5058999993
7806091.0,192558416.0,11040,295,2020-05-27,,FS46D,1,1,25,7,2020,527,0,Nachtegaal,203785.59880000353,200800.46090000123
9372836.0,216319184.0,11040,295,2021-06-07,,FS36A,1,1,3116,14,2021,607,0,Nachtegaal,184403.4048999995,205402.4028000012
9392927.0,212819788.0,11040,295,2021-05-06,17:18,FS36D,1,92,3117,6,2021,506,0,Nachtegaal,193083.73650000244,199368.96550000086
9393146.0,212819792.0,11040,295,2021-05-06,16:48,FS36D,1,92,3115,16,2021,506,0,Nachtegaal,192612.8642999977,198933.4684999995
9394454.0,212819798.0,11040,295,2021-05-06,16:45,FS36D,1,92,3114,15,2021,506,0,Nachtegaal,192503.70440000296,198892.68090000004
9404715.0,239119336.0,11040,295,2022-04-26,16:41,FS36D,1,92,25,7,2022,426,0,Nachtegaal,192607.29339999706,198932.57409999892
9413973.0,244544354.0,11040,295,2022-06-07,12:49,FS36D,1,92,25,7,2022,607,0,Nachtegaal,192728.50559999794,198942.8088000007
9414272.0,212819789.0,11040,295,2021-05-06,16:52,FS36D,1,92,3116,14,2021,506,0,Nachtegaal,192784.88350000232,198978.59540000185
9419663.0,211456868.0,11040,295,2021-04-22,16:32,FS36D,1,92,25,7,2021,422,0,Nachtegaal,192736.8594999984,199038.46460000053
9419704.0,211456866.0,11040,295,2021-04-22,16:42,FS36D,1,92,3051,13,2021,422,0,Nachtegaal,192618.6378000006,198917.81309999898
9722636.0,240116880.0,11040,295,2022-04-28,11:44,FT20D,1,92,3118,5,2022,428,0,Nachtegaal,179921.23629999906,237072.28060000017
