fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
853608.0,313250284.0,5320,26,2024-05-28,14:03,ES88B,7,210,25,7,2024,528,0,Grutto,140949.57119999826,224493.21709999815
853658.0,311659918.0,5320,26,2024-05-26,15:56,ES88B,6,92,25,7,2024,526,0,Grutto,140994.0496999994,224372.55220000073
854400.0,192120100.0,5320,26,2020-05-22,08:17,ES88B,2,1,3124,10,2020,522,0,Grutto,141747.71710000187,224821.4261999987
855358.0,307360562.0,5320,26,2024-05-02,,ES88B,1,1,25,7,2024,502,0,Grutto,141088.70220000297,224426.9375
855624.0,312910610.0,5320,26,2024-06-03,18:19,ES88B,1,1,25,7,2024,603,0,Grutto,141069.36659999937,224315.38819999993
856054.0,308841093.0,5320,26,2024-05-10,10:13,ES88B,1,92,25,7,2024,510,0,Grutto,141022.04980000108,224577.1735999994
856311.0,214596536.0,5320,26,2021-05-23,08:34,ES88B,2,92,3118,5,2021,523,0,Grutto,140952.76410000026,224465.14790000021
856563.0,313871215.0,5320,26,2024-06-09,18:01,ES88B,2,1,25,7,2024,609,0,Grutto,140972.44139999896,224488.52569999918
857811.0,214590768.0,5320,26,2021-05-23,08:34,ES88B,2,92,3118,5,2021,523,0,Grutto,140951.0380000025,224466.42419999838
861558.0,311650247.0,5320,26,2024-05-26,11:06,ES88B,1,1,25,7,2024,526,0,Grutto,140869.0375000015,224368.22690000013
862415.0,306564724.0,5320,26,2024-04-27,14:59,ES88B,4,92,25,7,2024,427,0,Grutto,141009.38149999827,224320.32169999927
864645.0,246520874.0,5320,26,2022-06-23,14:14,ES88B,1,210,25,7,2022,623,0,Grutto,141670.66139999777,224956.86510000005
867122.0,306553738.0,5320,26,2024-04-27,10:27,ES88B,1,92,25,7,2024,427,0,Grutto,141028.20539999753,224288.45760000125
869761.0,273173557.0,5320,26,2023-05-23,14:00,ES88B,2,1,25,7,2023,523,0,Grutto,140971.91550000012,224544.0036999993
871990.0,300655928.0,5320,26,2024-03-10,11:50,ES88B,1,92,3118,5,2024,310,0,Grutto,140350.33910000324,224619.0225000009
873685.0,213223465.0,5320,26,2021-05-10,,ES88B,3,1,3121,12,2021,510,0,Grutto,141063.24069999903,224619.0454000011
874206.0,213785982.0,5320,26,2021-05-15,11:55,ES88B,4,92,3121,12,2021,515,0,Grutto,141464.34260000288,225093.46880000085
878621.0,274226010.0,5320,26,2023-05-31,15:00,ES88B,2,1,25,7,2023,531,0,Grutto,141002.06949999928,224518.88580000028
880782.0,273786859.0,5320,26,2023-05-28,12:32,ES88B,4,92,25,7,2023,528,0,Grutto,141034.30640000105,224241.33619999886
881568.0,272789787.0,5320,26,2023-05-21,,ES88B,5,1,25,7,2023,521,0,Grutto,141017.4997999966,224344.6629000008
888710.0,308626534.0,5320,26,2024-05-09,10:27,ES88B,1,92,3121,12,2024,509,0,Grutto,140999.46180000156,224447.69090000167
890753.0,305217676.0,5320,26,2024-04-14,,ES88B,5,1,3118,5,2024,414,0,Grutto,141090.5155000016,224437.67489999905
892609.0,216029829.0,5320,26,2021-06-05,,ES88B,2,1,28,6,2021,605,0,Grutto,141671.04559999704,224853.3687000014
894391.0,192841984.0,5320,26,2020-05-30,11:46,ES88B,2,1,25,7,2020,530,0,Grutto,140982.89559999853,224391.00679999962
902893.0,313694841.0,5320,26,2024-06-08,11:31,ES88B,2,92,25,7,2024,608,0,Grutto,141464.03630000353,225119.1704000011
902898.0,191597585.0,5320,26,2020-05-17,13:22,ES88B,2,92,3121,12,2020,517,0,Grutto,141474.05430000275,224950.25340000167
903443.0,211129862.0,5320,26,2021-04-18,12:46,ES88B,1,92,3118,5,2021,418,0,Grutto,141590.8246999979,225488.16849999875
903884.0,310664859.0,5320,26,2024-05-20,14:34,ES88B,6,92,25,7,2024,520,0,Grutto,140991.03689999878,224379.34820000082
912795.0,273786895.0,5320,26,2023-05-28,11:40,ES88B,1,92,25,7,2023,528,0,Grutto,141883.2154000029,224718.69179999828
912799.0,273946196.0,5320,26,2023-05-29,14:39,ES88B,1,92,25,7,2023,529,0,Grutto,141883.18339999765,224719.5406000018
921878.0,210686545.0,5320,26,2021-04-13,17:35,ES88B,2,92,3118,5,2021,413,0,Grutto,140842.13409999758,224756.49540000036
927578.0,240540117.0,5320,26,2022-05-07,09:00,ES88B,2,92,25,7,2022,507,0,Grutto,140928.57630000263,224527.15569999814
931242.0,213795689.0,5320,26,2021-05-15,07:29,ES88B,5,1,3121,12,2021,515,0,Grutto,141554.88849999756,224887.378800001
931359.0,237079078.0,5320,26,2022-04-08,16:59,ES88B,1,92,3051,13,2022,408,0,Grutto,141090.94200000167,224604.9076000005
932671.0,193370100.0,5320,26,2020-06-06,10:09,ES88B,2,1,25,7,2020,606,0,Grutto,140934.88560000062,224519.8178000003
933924.0,273786882.0,5320,26,2023-05-28,11:49,ES88B,1,92,25,7,2023,528,0,Grutto,141667.44520000368,224961.80260000005
945341.0,273776571.0,5320,26,2023-05-28,15:17,ES88B,3,210,3115,16,2023,528,0,Grutto,140950.20759999752,224488.74969999865
949275.0,244405710.0,5320,26,2022-06-06,11:56,ES88B,4,92,25,7,2022,606,0,Grutto,141900.71410000324,224729.69949999824
951665.0,240650751.0,5320,26,2022-05-07,09:01,ES88B,2,92,25,7,2022,507,0,Grutto,140845.17099999636,224643.8147
951695.0,243053821.0,5320,26,2022-05-26,09:35,ES88B,4,1,3124,10,2022,526,0,Grutto,140890.2466999963,224518.56069999933
953684.0,210152618.0,5320,26,2021-04-05,13:03,ES88C,2,210,3118,5,2021,405,0,Grutto,137742.71419999748,217403.1689000018
955895.0,214376799.0,5320,26,2021-04-30,10:21,ES88C,1,90,3121,12,2021,430,0,Grutto,138514.0529000014,219973.76680000126
956574.0,213363400.0,5320,26,2021-05-12,08:31,ES88C,2,92,3118,5,2021,512,0,Grutto,138806.60849999636,219548.37460000068
957801.0,194238215.0,5320,26,2020-06-10,11:58,ES88C,1,210,3051,13,2020,610,0,Grutto,138403.9550999999,219883.54940000176
960839.0,211729416.0,5320,26,2021-04-25,11:14,ES88C,2,92,3118,5,2021,425,0,Grutto,138435.23809999973,219861.8946999982
960850.0,212426641.0,5320,26,2021-05-01,18:18,ES88C,2,1,25,7,2021,501,0,Grutto,138944.33389999717,220015.01040000096
