fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
5947342.0,248714320.0,2310,349,2022-07-11,11:48,FS58A,1,92,3116,14,2022,711,0,Wespendief,208177.73669999838,223164.33570000157
6198314.0,251179682.0,2310,349,2022-08-01,12:53,FS38A,1,92,3116,14,2022,801,0,Wespendief,187364.80430000275,222284.50420000032
6203150.0,243984206.0,2310,349,2022-06-02,12:05,FS38A,2,1,3118,5,2022,602,0,Wespendief,189081.5080000013,225297.7664999999
6531518.0,220500375.0,2310,349,2021-07-18,13:00,FS48C,1,92,28,6,2021,718,0,Wespendief,196588.6543999985,220125.62579999864
6541747.0,246323337.0,2310,349,2022-06-21,,FS48D,1,1,3118,5,2022,621,0,Wespendief,204575.64389999956,220282.77699999884
6558691.0,253460949.0,2310,349,2022-08-20,10:00,FS49C,1,1,3116,14,2022,820,0,Wespendief,195655.76900000125,228109.13479999825
6565497.0,192810862.0,2310,349,2020-05-28,14:36,FS49D,1,1,3117,6,2020,528,0,Wespendief,200757.7093999982,227047.85920000076
