wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
142661422;142661422;Geoorde margriet;Leucanthemum vulgare subsp. vulgare;2017-02-07;7;10/08/2017;1;ter plaatse;onbekend;onbekend;onbekend;232409.51247440363;189440.22230420355;5.54302556;51.0093011;FS7853;D73221 - Terril Klaverberg eo;As;As;Limburg;copied observation;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Planten;Asteraceae;2/06/2026;6979;I;zeldzaam
190140780;190140780;Geoorde margriet;Leucanthemum vulgare subsp. vulgare;2020-05-01;5;2020-05-01;1;ter plaatse;onbekend;onbekend;onbekend;173484.0858407761;211269.0013117874;4.70482063293457;51.2108993530273;FS1974;Pulderbos - Privé domein Krabbelshof - Strikt Ontoegankelijk;Zandhoven;Pulle;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;2007-01-01;4;;25;Planten;Asteraceae;2026-06-02;6979;I;zeldzaam
307230287;307230287;Geoorde margriet;Leucanthemum vulgare subsp. vulgare;2024-05-01;5;2024-05-01;1;ter plaatse;onbekend;onbekend;onbekend;158641.79711153012;188804.86577926297;4.4918883;51.0093892;FS0451;Leuvense Vaart Mechelen Zuid;Mechelen;Muizen;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;30;Planten;Asteraceae;2026-06-02;6979;I;zeldzaam
