naam_nl;naam_lat;x;y
Gentiaanblauwtje;Phengaris alcon;189137.90540196648;229222.35916198604
Gentiaanblauwtje;Phengaris alcon;189112.03214431703;229172.0318816891
Gentiaanblauwtje;Phengaris alcon;189052.81185562565;229210.1228487678
Gentiaanblauwtje;Phengaris alcon;189240.5215379199;229211.97012854367
Gentiaanblauwtje;Phengaris alcon;189144.96448369976;229094.7965178145
Gentiaanblauwtje;Phengaris alcon;217366.49108828302;197116.58881327044
Gentiaanblauwtje;Phengaris alcon;189057.85080116577;229181.1906070551
Gentiaanblauwtje;Phengaris alcon;189147.9102448825;229127.647889358
Gentiaanblauwtje;Phengaris alcon;189139.94189067464;229154.53296238277
Gentiaanblauwtje;Phengaris alcon;189092.2084805711;229262.54660239164
Gentiaanblauwtje;Phengaris alcon;189129.13274995316;229165.2213610541
Gentiaanblauwtje;Phengaris alcon;189155.48914041312;229222.4169300571
Gentiaanblauwtje;Phengaris alcon;189162.60537827376;229120.95008624066
Gentiaanblauwtje;Phengaris alcon;189151.91878891556;229154.64535157755
Gentiaanblauwtje;Phengaris alcon;189110.8261316734;229156.5569457477
Gentiaanblauwtje;Phengaris alcon;189122.26298737887;229212.4317292357
Gentiaanblauwtje;Phengaris alcon;189159.40794540456;229118.48445316032
Gentiaanblauwtje;Phengaris alcon;189149.42407000286;229163.63654240966
Gentiaanblauwtje;Phengaris alcon;189091.68589981843;229145.84188047145
Gentiaanblauwtje;Phengaris alcon;218463.33513114892;198177.50470472313
Gentiaanblauwtje;Phengaris alcon;218453.43006096192;198186.28705517016
Gentiaanblauwtje;Phengaris alcon;218462.79505929333;198177.9220105745
Gentiaanblauwtje;Phengaris alcon;217351.98356024822;197138.2742187837
Gentiaanblauwtje;Phengaris alcon;189187.4233936388;229100.73594369646
Gentiaanblauwtje;Phengaris alcon;218457.78974450877;198179.9781848127
Gentiaanblauwtje;Phengaris alcon;189239.54151089737;229212.6961298026
Gentiaanblauwtje;Phengaris alcon;189153.7318336426;229220.08044569567
