"Item","Type","Status","Duurtijd_Min","Fout"
"Bruine snavelbies","Simpele Soort","SUCCES",2.04,"Geen"
"Drijvende egelskop","Simpele Soort","SUCCES",1.9,"Geen"
"Grote pimpernel","Simpele Soort","SUCCES",1.9,"Geen"
"Klein blaasjeskruid","Simpele Soort","SUCCES",1.9,"Geen"
"Klein tasjeskruid","Simpele Soort","SUCCES",1.92,"Geen"
"Klein warkruid","Simpele Soort","SUCCES",1.93,"Geen"
"Kleine ratelaar","Simpele Soort","SUCCES",1.91,"Geen"
"Liggende vleugeltjesbloem","Simpele Soort","SUCCES",1.88,"Geen"
"Loos blaasjeskruid","Simpele Soort","SUCCES",1.87,"Geen"
"Ronde zonnedauw","Simpele Soort","SUCCES",1.99,"Geen"
"Spaanse ruiter","Simpele Soort","SUCCES",1.86,"Geen"
"Welriekende nachtorchis","Simpele Soort","SUCCES",1.84,"Geen"
"Witte snavelbies","Simpele Soort","SUCCES",1.88,"Geen"
"Witte waterranonkel","Simpele Soort","SUCCES",1.83,"Geen"
