Volgnummer,Laagnaam
1,1130
2,1140
3,1310_pol
4,1310_zk
5,1310_zv
6,1320
7,1330_da
8,1330_hpr
9,"1330_hpr,gh"
10,2110
11,2120
12,"2130,gh"
13,2130_had
14,2130_hd
15,2150
16,2160
17,2170
18,2180
19,"2180,gh"
20,2190
21,"2190,gh"
22,2190_mp
23,2310
24,"2310,2330"
25,"2310,bos"
26,"2310,gh"
27,2330
28,"2330,bos"
29,"2330,gh"
30,2330_bu
31,2330_dw
32,3110
33,3130
34,"3130,gh"
35,3130_aom
36,3130_na
37,3130_rbbmr
38,3140
39,"3140,gh"
40,3140_rbbmr
41,3150
42,"3150,gh"
43,3150_rbbmr
44,3160
45,"3160,gh"
46,3160_rbbmr
47,3260
48,"3260,gh"
49,3270
50,4010
51,"4010,4030"
52,"4010,bos"
53,"4010,gh"
54,"4010,rbbsm"
55,4030
56,"4030,bos"
57,"4030,gh"
58,5130
59,6120
60,6210_hk
61,6210_sk
62,6230
63,"6230,6410"
64,"6230,gh"
65,6230_ha
66,6230_hmo
67,6230_hn
68,6230_hnk
69,6410
70,"6410,gh"
71,6410_mo
72,6410_ve
73,6430
74,"6430,bos"
75,"6430,gh"
76,"6430,rbbhf"
77,"6430,rbbhf,bos"
78,6430_bz
79,6430_hf
80,6430_hw
81,6430_mr
82,"6430_mr,rbbmr"
83,"6510,gh"
84,6510_hu
85,"6510_hu,bos"
86,6510_hua
87,6510_huk
88,6510_hus
89,7110
90,7140
91,"7140,gh"
92,"7140,rbbms"
93,7140_base
94,7140_meso
95,7140_mrd
96,7140_oli
97,7150
98,7210
99,7220
100,"7220,gh"
101,7230
102,"7230,gh"
103,9110
104,"9110,gh"
105,9120
106,"9120,gh"
107,9120_qb
108,9130
109,"9130,gh"
110,9130_end
111,9130_fm
112,9150
113,9160
114,"9160,gh"
115,9190
116,"9190,gh"
117,91E0
118,"91E0,gh"
119,91E0_sf
120,91E0_va
121,91E0_vc
122,91E0_vm
123,91E0_vn
124,91E0_vo
125,91F0
126,a
127,abi
128,acer
129,ad
130,ae
131,ae-
132,ae+
133,aer
134,aer-
135,aer+
136,aes
137,aev
138,aev-
139,aev+
140,ah
141,ah-
142,ah+
143,alng
144,alni
145,ao
146,ao-
147,ao+
148,aom
149,aom-
150,aom+
151,ap
152,ap-
153,ap+
154,app-
155,b
156,bet
157,bk
158,bk+
159,bl
160,bl+
161,bs
162,bs+
163,bu
164,bu+
165,c
166,car
167,cas
168,cd
169,cd-
170,cdb
171,cdb-
172,ce
173,ce-
174,ce+
175,ceb
176,ceb-
177,ces
178,ces-
179,ces+
180,cesb
181,cesb-
182,cg
183,cg-
184,cg+
185,cgb
186,cgb-
187,cgb+
188,cm
189,cm-
190,cmb
191,cmb-
192,cor
193,cp
194,cpb
195,cra
196,cv
197,cv-
198,cvb
199,cvb-
200,cvb+
201,da
202,da-
203,dd
204,dd-
205,dd+
206,dl
207,dl+
208,dla
209,dls
210,dls+
211,dm
212,dm-
213,ds
214,ds-
215,dz
216,fa
217,fa-
218,fag
219,fe
220,fe-
221,fe+
222,fk-
223,fl
224,fl-
225,fm
226,fm-
227,fran
228,frax
229,fs
230,fs-
231,fs+
232,gh
233,gml
234,gmn
235,h
236,ha
237,ha-
238,ha+
239,hab
240,hab-
241,hab+
242,hac
243,hac-
244,hacb
245,hacb-
246,had
247,had-
248,had+
249,hat
250,hat-
251,hat+
252,hatb
253,hatb-
254,hc
255,hc-
256,hc+
257,hcb
258,hcb-
259,hd
260,hd-
261,hd+
262,hdb
263,hdb-
264,hdb+
265,hf
266,hf-
267,hf+
268,hfb
269,hfb-
270,hfc
271,hfc-
272,hfc+
273,hfcb
274,hfcb-
275,hfe
276,hfe-
277,hfeb
278,hfeb-
279,hfl
280,hfl-
281,hfl+
282,hflb
283,hflb-
284,hflb+
285,hft
286,hft-
287,hftb
288,hj
289,hj-
290,hj+
291,hjb
292,hk
293,hk-
294,hkb-
295,hm
296,hm-
297,hm+
298,hmb
299,hmb-
300,hme
301,hme-
302,hme+
303,hmm
304,hmm-
305,hmm+
306,hmo
307,hmo-
308,hmo+
309,hn
310,hn-
311,hn+
312,hnb
313,hnb-
314,hnb+
315,hp
316,hp+
317,hpr
318,hpr+
319,hr
320,hr-
321,hr+
322,hrb
323,hrb-
324,hrb+
325,hu
326,hu-
327,hu+
328,hub
329,hub-
330,hub+
331,hx
332,hx+
333,ilex
334,jug
335,jun
336,k(ae-)
337,k(ae)
338,k(ae+)
339,k(ah-)
340,k(ah)
341,k(ao-)
342,k(ao)
343,k(ao+)
344,k(aom-)
345,k(aom)
346,k(aom+)
347,k(b+)
348,k(cd)
349,k(cdb)
350,k(ce-)
351,k(ce)
352,k(cg-)
353,k(cg)
354,k(cgb-)
355,k(cgb)
356,k(cm)
357,k(cmb)
358,k(cp)
359,k(cpb)
360,k(da-)
361,k(da)
362,k(ha-)
363,k(ha)
364,k(ha+)
365,k(hab-)
366,k(hab)
367,k(hab+)
368,k(hac-)
369,k(hac)
370,k(had-)
371,k(had)
372,k(hat-)
373,k(hat)
374,k(hat+)
375,k(hc-)
376,k(hc)
377,k(hc+)
378,k(hd-)
379,k(hd)
380,k(hf-)
