Soort,Type,Code,Match,MinOpp (ha),AfstandBiotopen (m),Dispersiecap (m)
adder,bwk,4030,bevat,25.0,1.0,nan
adder,bwk,cg,bevat,25.0,1.0,nan
adder,bwk,cd,bevat,25.0,1.0,nan
adder,bwk,2310,bevat,25.0,1.0,nan
adder,bwk,4030,bevat,25.0,1.0,nan
adder,bwk,ce,bevat,25.0,1.0,nan
adder,bwk,4010,bevat,25.0,1.0,nan
adder,bwk,7150,bevat,25.0,1.0,nan
adder,bwk,cg,bevat,25.0,1.0,nan
adder,bwk,cm,bevat,25.0,1.0,nan
adder,bwk,cv,bevat,25.0,1.0,nan
adder,bwk,k(cg,bevat,25.0,1.0,nan
adder,bwk,k(cv,bevat,25.0,1.0,nan
adder,bwk,k(cm,bevat,25.0,1.0,nan
adder,bwk,k(cd,bevat,25.0,1.0,nan
adder,bwk,k(ce,bevat,25.0,1.0,nan
boomkikker,waterbiotoop_bwk,3150,bevat,5.0,500.0,nan
boomkikker,waterbiotoop_bwk,ae,bevat,5.0,500.0,nan
boomkikker,waterbiotoop_bwk,2190,bevat,5.0,500.0,nan
boomkikker,waterbiotoop_bwk,3140,bevat,5.0,500.0,nan
boomkikker,waterbiotoop_bwk,ao,bevat,5.0,500.0,nan
boomkikker,waterbiotoop_bwk,3110,bevat,5.0,500.0,nan
boomkikker,waterbiotoop_bwk,3130,bevat,5.0,500.0,nan
boomkikker,waterbiotoop_bwk,3160,bevat,5.0,500.0,nan
boomkikker,waterbiotoop_bwk,7140,bevat,5.0,500.0,nan
boomkikker,waterbiotoop_bwk,7150,bevat,5.0,500.0,nan
boomkikker,waterbiotoop_bwk,kn,bevat,5.0,500.0,nan
boomkikker,waterbiotoop_bwk,mp,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,hc,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,2190,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,6410,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,rbbhc,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,hd,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,2130,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,2130_hd,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,hf,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,6430,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,hj,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,mp,bevat,5.0,500.0,nan
boomkikker,landbiotoop_hms,mr,bevat,5.0,500.0,nan
