"Gebied","Soort","Type","Status","Fout"
"De Maten","Hoogveenglanslibel","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"De Maten","Maanwaterjuffer","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"De Maten","Sierlijke witsnuitlibel","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"De Maten","Speerwaterjuffer","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"De Maten","Venglazenmaker","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"Heesbossen","Beekrombout","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"Heesbossen","Hoogveenglanslibel","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"Heesbossen","Venglazenmaker","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"Kalmthoutse Heide","Hoogveenglanslibel","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"Kalmthoutse Heide","Speerwaterjuffer","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"Mechelse Heide","Maanwaterjuffer","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"Mechelse Heide","Venglazenmaker","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
"Voerstreek","Beekrombout","Conversie & Knit","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV-waarnemingsbestand in map"
