"Gebied","Soort","Type","Status","Fout"
"De Maten","ZwarteHeidelibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"De Maten","GevlekteWitsnuitlibel","Knit HTML","GEKOZEN_OVERSLAAN","Reeds vandaag geknit"
"De Maten","Hoogveenglanslibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"De Maten","NoordseWitsnuitlibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"De Maten","Venwitsnuitlibel","Knit HTML","GEKOZEN_OVERSLAAN","Reeds vandaag geknit"
"De Maten","Venglazenmaker","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"De Maten","Maanwaterjuffer","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"De Maten","Speerwaterjuffer","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Heesbossen","ZwarteHeidelibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Heesbossen","GevlekteWitsnuitlibel","Knit HTML","GEKOZEN_OVERSLAAN","Reeds vandaag geknit"
"Heesbossen","Hoogveenglanslibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Heesbossen","NoordseWitsnuitlibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Heesbossen","Venwitsnuitlibel","Knit HTML","GEKOZEN_OVERSLAAN","Reeds vandaag geknit"
"Heesbossen","Venglazenmaker","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Heesbossen","Maanwaterjuffer","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Heesbossen","Speerwaterjuffer","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Kalmthoutse Heide","ZwarteHeidelibel","Knit HTML","GEKOZEN_OVERSLAAN","Reeds vandaag geknit"
"Kalmthoutse Heide","GevlekteWitsnuitlibel","Knit HTML","GEKOZEN_OVERSLAAN","Reeds vandaag geknit"
"Kalmthoutse Heide","Hoogveenglanslibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Kalmthoutse Heide","NoordseWitsnuitlibel","Knit HTML","GEKOZEN_OVERSLAAN","Reeds vandaag geknit"
"Kalmthoutse Heide","Venwitsnuitlibel","Knit HTML","GEKOZEN_OVERSLAAN","Reeds vandaag geknit"
"Kalmthoutse Heide","Venglazenmaker","Knit HTML","GEKOZEN_OVERSLAAN","Reeds vandaag geknit"
"Kalmthoutse Heide","Maanwaterjuffer","Knit HTML","GEKOZEN_OVERSLAAN","Reeds vandaag geknit"
"Kalmthoutse Heide","Speerwaterjuffer","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Mechelse Heide","ZwarteHeidelibel","Knit HTML","GEKOZEN_OVERSLAAN","Reeds vandaag geknit"
"Mechelse Heide","GevlekteWitsnuitlibel","Knit HTML","SUCCES","Geen"
"Mechelse Heide","Hoogveenglanslibel","Knit HTML","SUCCES","Geen"
"Mechelse Heide","NoordseWitsnuitlibel","Knit HTML","SUCCES","Geen"
"Mechelse Heide","Venwitsnuitlibel","Knit HTML","SUCCES","Geen"
"Mechelse Heide","Venglazenmaker","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Mechelse Heide","Maanwaterjuffer","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Mechelse Heide","Speerwaterjuffer","Knit HTML","SUCCES","Geen"
"Turnhouts Vennegebied","ZwarteHeidelibel","Knit HTML","SUCCES","Geen"
"Turnhouts Vennegebied","GevlekteWitsnuitlibel","Knit HTML","SUCCES","Geen"
"Turnhouts Vennegebied","Hoogveenglanslibel","Knit HTML","SUCCES","Geen"
"Turnhouts Vennegebied","NoordseWitsnuitlibel","Knit HTML","SUCCES","Geen"
"Turnhouts Vennegebied","Venwitsnuitlibel","Knit HTML","SUCCES","Geen"
"Turnhouts Vennegebied","Venglazenmaker","Knit HTML","SUCCES","Geen"
"Turnhouts Vennegebied","Maanwaterjuffer","Knit HTML","SUCCES","Geen"
"Turnhouts Vennegebied","Speerwaterjuffer","Knit HTML","SUCCES","Geen"
"Voerstreek","ZwarteHeidelibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Voerstreek","GevlekteWitsnuitlibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Voerstreek","Hoogveenglanslibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Voerstreek","NoordseWitsnuitlibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Voerstreek","Venwitsnuitlibel","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Voerstreek","Venglazenmaker","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Voerstreek","Maanwaterjuffer","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
"Voerstreek","Speerwaterjuffer","Knit HTML","OVERSLAAN_GEEN_WAARNEMINGEN","Geen CSV waarnemingenbestand gevonden"
